,編號,案類,發生日期,發生時段,發生地點,tokenizer,time_zone
1484,1485,住宅竊盜,1060325,08~10,臺北市內湖區內湖路3段59巷7弄1~30號,['臺  北市  內  湖區  內  湖路  3  段  59  巷  7  弄  1  ~  30  號'],morning
1485,1486,住宅竊盜,1060326,06~08,臺北市內湖區內湖路2段179巷63弄1~30號,['臺  北市  內  湖區  內  湖路  2  段  179  巷  63  弄  1  ~  30  號'],morning
1486,1487,住宅竊盜,1060326,10~12,臺北市士林區社新里4鄰延平北路6段121~150號,['臺  北市  士林  區社  新里  4  鄰  延平北路  6  段  121  ~  150  號'],morning
1490,1491,住宅竊盜,1060328,08~10,臺北市大同區鄰江里迪化街2段296巷1~30號,['臺  北市  大同  區鄰  江里  迪化街  2  段  296  巷  1  ~  30  號'],morning
1501,1502,住宅竊盜,1060405,10~12,臺北市松山區新東街51巷1~30號,['臺  北市  松山  區新  東街  51  巷  1  ~  30  號'],morning
1503,1504,住宅竊盜,1060406,08~10,臺北市大安區華聲里光復南路180巷31~60號,['臺  北市  大安  區華聲  里  光  復  南路  180  巷  31  ~  60  號'],morning
1506,1507,住宅竊盜,1060409,06~08,臺北市北投區清江里清江路1~30號,['臺  北  市北  投區  清江  里  清江  路  1  ~  30  號'],morning
1508,1509,住宅竊盜,1060410,06~08,臺北市北投區稻香里新興路121~150號,['臺  北  市北  投區  稻香  里  新興路  121  ~  150  號'],morning
1510,1511,住宅竊盜,1060412,06~08,臺北市士林區陽明里中庸一路1~30號,['臺  北市  士林  區陽  明里  中庸  一路  1  ~  30  號'],morning
1521,1522,住宅竊盜,1060418,08~10,臺北市中山區新生北路2段137巷31~60號,['臺  北市  中山  區  新生北路  2  段  137  巷  31  ~  60  號'],morning
1525,1526,住宅竊盜,1060420,08~10,臺北市大同區建功里重慶北路1段1~30號,['臺  北市  大同  區  建功  里  重慶  北路  1  段  1  ~  30  號'],morning
1526,1527,住宅竊盜,1060420,08~10,臺北市大同區建功里重慶北路1段1~30號,['臺  北市  大同  區  建功  里  重慶  北路  1  段  1  ~  30  號'],morning
1527,1528,住宅竊盜,1060420,10~12,臺北市內湖區星雲街33巷27弄1~30號,['臺  北市  內  湖區  星雲街  33  巷  27  弄  1  ~  30  號'],morning
1531,1532,住宅竊盜,1060422,08~10,臺北市南港區成福里成福路121巷56弄1~30號,['臺  北市  南港  區  成福  里  成福  路  121  巷  56  弄  1  ~  30  號'],morning
